"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Parapoxvirus",10257,3,"genus","Virus","DNA","ds","Negative_strand","Enveloped","Incongruent","Yes","Animal Human","Erica Aguayza Salma Elhassa Elizabeth Ghobrial","TMD","Petersen, Brett W., and Inger K. Damon. “136 - Other Poxviruses That Infect Humans: Parapoxviruses (Including Orf Virus), Molluscum Contagiosum, and Yatapoxviruses.” Mandell, Douglas, and Bennett’s Principles and Practice of Infectious Diseases (Eighth Edition), edited by John E. Bennett et al., Content Repository Only!, 2015, pp. 1703-1706.e1. ScienceDirect, doi:10.1016/B978-1-4557-4801-3.00136-3.
Haig, D., and A. A. Mercer. “Parapoxviruses.” Encyclopedia of Virology (Third Edition), edited by Brian W. J. Mahy and Marc H. V. Van Regenmortel, Academic Press, 2008, pp. 57–63. ScienceDirect, doi:10.1016/B978-012374410-4.00461-1.
Parapoxvirus ~ ViralZone Page. https://viralzone.expasy.org/150. Accessed 30 Aug. 2020. Delhon, G., et al. “Genomes of the Parapoxviruses Orf Virus and Bovine Papular Stomatitis Virus.” Journal of Virology, vol. 78, no. 1, Jan. 2004, pp. 168–77. PubMed Central, doi:10.1128/JVI.78.1.168-177.2004.

Dal Pozzo, F., et al. “Original Findings Associated with Two Cases of Bovine Papular Stomatitis.” Journal of Clinical Microbiology, vol. 49, no. 12, Dec. 2011, pp. 4397–400. PubMed Central, doi:10.1128/JCM.05281-11.

de Sant’Ana, Fabiano J. F., et al. “Bovine Papular Stomatitis Affecting Dairy Cows and Milkers in Midwestern Brazil.” Journal of Veterinary Diagnostic Investigation: Official Publication of the American Association of Veterinary Laboratory Diagnosticians, Inc, vol. 24, no. 2, Mar. 2012, pp. 442–45. PubMed, doi:10.1177/1040638711434799.

Fleming, Stephen B., and Andrew A. Mercer. “Genus Parapoxvirus.” Poxviruses, 2007, pp. 127–65. PubMed Central, doi:10.1007/978-3-7643-7557-7_7.

Lederman, Edith R., et al. “An Investigation of a Cluster of Parapoxvirus Cases in Missouri, Feb–May 2006: Epidemiologic, Clinical and Molecular Aspects.” Animals : An Open Access Journal from MDPI, vol. 3, no. 1, Feb. 2013, pp. 142–57. PubMed Central, doi:10.3390/ani3010142. Haig, D., and A. A. Mercer. “Parapoxviruses.” Encyclopedia of Virology, Elsevier, 2008, pp. 57–63. DOI.org (Crossref), doi:10.1016/B978-012374410-4.00461-1."
"Pigeonpox virus",10264,3,"species","Virus","DNA","Incongruent","","Incongruent","Complex","Yes","Animal","Alena LeBron NA Alleyah Hanson","TMD","Pigeonpox Virus. https://www.genome.jp/virushostdb/10264. Accessed 16 Mar. 2020.

ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Pigeonpox%20virus&field1=virus.name&detail=true. Accessed 16 Mar. 2020.

Weli, Simon C., and Morten Tryland. “Avipoxviruses: Infection Biology and Their Use as Vaccine Vectors.” Virology Journal, vol. 8, no. 1, Feb. 2011, p. 49. BioMed Central, doi:10.1186/1743-422X-8-49.

Untitled Document. https://web.stanford.edu/group/virus/pox/2005/index2.html. Accessed 16 Mar. 2020. NA Taxonomy Browser (Columba Livia). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=8932. Accessed 12 Mar. 2020.
Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Avipoxvirus Pigeonpox Virus Strain ELsharqyia_PGPV. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=JQ665840&decorator=pox&context=1584044889881. Accessed 12 Mar. 2020."
"Sheeppox virus",10266,3,"species","Virus","DNA","ds","Unknown","Enveloped","Complex","Yes","Animal","Alia Codelia-Anjum Alexis Mitelman Aliyah Shari","TMD","IMG. https://img.jgi.doe.gov/cgi-bin/vr/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=638276771.

Mahmoud, M. A., and M. H. Khafagi. “Detection, Identification, and Differentiation of Sheep Pox Virus and Goat Pox Virus from Clinical Cases in Giza Governorate, Egypt.” Veterinary World, vol. 9, no. 12, Dec. 2016, pp. 1445–49. PubMed Central, doi:10.14202/vetworld.2016.1445-1449. “Sheeppox and Goatpox - Integumentary System.” Merck Veterinary Manual, https://www.merckvetmanual.com/integumentary-system/pox-diseases/sheeppox-and-goatpox. Accessed 21 Sept. 2020.

Sheeppox Virus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/sheeppox-virus. Accessed 21 Sept. 2020.

Tulman, E. R., et al. “The Genomes of Sheeppox and Goatpox Viruses.” Journal of Virology, vol. 76, no. 12, June 2002, pp. 6054–61. PubMed Central, doi:10.1128/JVI.76.12.6054-6061.2002. Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=Sheeppox%20virus. Accessed 16 Sept. 2020.

Capripoxvirus - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/immunology-and-microbiology/capripoxvirus#:~:text=CaPVs%20are%20enveloped%20with%20a,different%20parts%20of%20the%20world. Accessed 16 Sept. 2020."
"Malignant rabbit fibroma virus",10274,3,"species","Virus","DNA","ds","","Incongruent","Complex","Yes","Animal","NA Alleyah Hanson Alena LeBron","TMD","NA Rabbit Fibroma Virus - Gene - NCBI. https://www.ncbi.nlm.nih.gov/gene/?term=rabbit+fibroma+virus. Accessed 12 Mar. 2020.
Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Leporipoxvirus Rabbit Fibroma Virus Strain Hungary. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=EF150848&decorator=pox&context=1584046003878. Accessed 12 Mar. 2020.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Rabbit%20fibroma%20virus&field1=virus.name&detail=true. Accessed 12 Mar. 2020. ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Rabbit%20fibroma%20virus&field1=virus.name&detail=true. Accessed 16 Mar. 2020.

Kerr, Peter J., et al. “Myxoma Virus and the Leporipoxviruses: An Evolutionary Paradigm.” Viruses, vol. 7, no. 3, Mar. 2015, pp. 1020–61. PubMed Central, doi:10.3390/v7031020.

Untitled Document. https://web.stanford.edu/group/virus/pox/2005/index2.html. Accessed 16 Mar. 2020."
"Swinepox virus",10276,3,"species","Virus","DNA","ds","Incongruent","Enveloped","Unknown","Yes","Animal Human","Moitrayee Dasgupta Mohammad Rahman Momotaj Jahan","TMD","Mech, Puja, et al. “Identification of Swinepox Virus from Natural Outbreaks in Pig Population of Assam.” VirusDisease, vol. 29, no. 3, Sept. 2018, pp. 395–99. PubMed Central, doi:10.1007/s13337-018-0464-2. Mech, Puja, et al. “Identification of Swinepox Virus from Natural Outbreaks in Pig Population of Assam.” VirusDisease, vol. 29, no. 3, Sept. 2018, pp. 395–99. PubMed Central, doi:10.1007/s13337-018-0464-2.

“Swinepox - Integumentary System.” Merck Veterinary Manual, https://www.merckvetmanual.com/integumentary-system/pox-diseases/swinepox. Accessed 17 Aug. 2020 Mech, Puja, et al. “Identification of Swinepox Virus from Natural Outbreaks in Pig Population of Assam.” VirusDisease, vol. 29, no. 3, Sept. 2018, pp. 395–99. PubMed Central, doi:10.1007/s13337-018-0464-2."
"Oyo virus",1027632,2,"no_rank","Virus","RNA","ss","Incongruent","Enveloped","Helical","Unknown","","Mikaila Corriders Madison Estrella","TMD","Taxonomy Browser (Oyo Virus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1027632. Accessed 15 Aug. 2020.

Shchetinin, Alexey M., et al. “Genetic and Phylogenetic Characterization of Tataguine and Witwatersrand Viruses and Other Orthobunyaviruses of the Anopheles A, Capim, Guamá, Koongol, Mapputta, Tete, and Turlock Serogroups.” Viruses, vol. 7, no. 11, Nov. 2015, pp. 5987–6008. PubMed Central, doi:10.3390/v7112918.

Oluwayelu, Daniel Oladimeji, et al. “FLOCK-BASED SURVEILLANCE FOR LOW PATHOGENIC AVIAN INFLUENZA VIRUS IN COMMERCIAL BREEDERS AND LAYERS, SOUTHWEST NIGERIA.” African Journal of Infectious Diseases, vol. 11, no. 1, Nov. 2016, pp. 44–49. PubMed Central, doi:10.21010/ajid.v11i1.5. Bowden, Thomas A., et al. “Orthobunyavirus Ultrastructure and the Curious Tripodal Glycoprotein Spike.” PLoS Pathogens, edited by Ted C. Pierson, vol. 9, no. 5, May 2013, p. e1003374. DOI.org (Crossref), doi:10.1371/journal.ppat.1003374.

Shchetinin, Alexey, et al. “Genetic and Phylogenetic Characterization of Tataguine and Witwatersrand Viruses and Other Orthobunyaviruses of the Anopheles A, Capim, Guamá, Koongol, Mapputta, Tete, and Turlock Serogroups.” Viruses, vol. 7, no. 11, Nov. 2015, pp. 5987–6008. DOI.org (Crossref), doi:10.3390/v7112918.

“Taxonomy Browser (Oyo Virus).” NCBI, https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1027632. Accessed 14 Aug. 2020."
"Macrobrachium rosenbergii Taihu virus",1027947,3,"species","Virus","RNA","ss","Positive_strand","Naked","Icosahedral","Yes","Animal","Bagtygul Dovletova Aysha Tabassum Ayah Ahmad","TMD","Pan, Xiaoyi, et al. “Isolation and Characterization of a Novel Dicistrovirus Associated with Moralities of the Great Freshwater Prawn, Macrobrachium Rosenbergii.” International Journal of Molecular Sciences, vol. 17, no. 2, Feb. 2016. PubMed Central, doi:10.3390/ijms17020204.

Taxonomy Browser (Macrobrachium Rosenbergii Taihu Virus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1027947. Accessed 6 Dec. 2020.

JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0080842. Accessed 6 Dec. 2020.

Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=NCBI%3A1027947. Accessed 6 Dec. 2020.

IMG. https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2595698262. Accessed 6 Dec. 2020.

Macrobrachium Rosenbergii Taihu Virus. https://www.genome.jp/virushostdb/1027947. Accessed 6 Dec. 2020.

Macrobrachium Rosenbergii Taihu Virus. https://www.uniprot.org/proteomes/UP000204342. Accessed 6 Dec. 2020.

Macrobrachium Rosenbergii Taihu Virus - Encyclopedia of Life. https://eol.org/pages/51990441. Accessed 6 Dec. 2020. Hooper, C., Debnath, P. P., Biswas, S., van Aerle, R., Bateman, K. S., Basak, S. K., Rahman, M. M., Mohan, C. V., Islam, H. M. R., Ross, S., Stentiford, G. D., Currie, D., & Bass, D. (2020). A novel rna virus, macrobrachium rosenbergii golda virus (Mrgv), linked to mass mortalities of the larval giant freshwater prawn in bangladesh. Viruses, 12(10), 1120. https://doi.org/10.3390/v12101120

Macrobrachium rosenbergii Taihu virus. (2020). Joint Genome Institute Genomes Online Database; The Regents of the University of California. https://gold.jgi.doe.gov/organism?id=Go0080842

Pan, X., Cao, Z., Yuan, J., Shi, Z., Yuan, X., Lin, L., Xu, Y., Yao, J., Hao, G., & Shen, J. (2016). Isolation and characterization of a novel dicistrovirus associated with moralities of the great freshwater prawn, macrobrachium rosenbergii. International Journal of Molecular Sciences, 17(2). https://doi.org/10.3390/ijms17020204 Dicistroviridae ~ ViralZone Page. https://viralzone.expasy.org/36. Accessed 17 Jan. 2021.
Pan, Xiaoyi, et al. “Isolation and Characterization of a Novel Dicistrovirus Associated with Moralities of the Great Freshwater Prawn, Macrobrachium Rosenbergii.” International Journal of Molecular Sciences, vol. 17, no. 2, Feb. 2016. PubMed Central, doi:10.3390/ijms17020204.
Taxonomy Browser (Macrobrachium Rosenbergii Taihu Virus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1027947. Accessed 17 Jan. 2021."
"Influenza A virus with incomplete names",102797,2,"no_rank","Virus","RNA","ss","Negative_strand","Incongruent","Icosahedral","Yes","Animal Human","Alba Trepca Aisha Abid","TMD","Alphainfluenzavirus ~ ViralZone Page. https://viralzone.expasy.org/6. Accessed 29 Nov. 2020

Taxonomy Browser (Influenza A Virus with Incomplete Names). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=102797&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 29 Nov. 2020

Orthomyxoviridae ~ ViralZone Page. https://viralzone.expasy.org/223?outline=all_by_species. Accessed 29 Nov. 2020 Jacobs, Nathan T., et al. “Incomplete Influenza A Virus Genomes Occur Frequently but Are Readily Complemented during Localized Viral Spread.” Nature Communications, vol. 10, no. 1, Aug. 2019, p. 3526. www.nature.com, doi:10.1038/s41467-019-11428-x. 

CDC. “Types of Influenza Viruses.” Centers for Disease Control and Prevention, 18 Nov. 2019, https://www.cdc.gov/flu/about/viruses/types.htm."
"H4N6 subtype",102800,3,"serotype","Virus","RNA","Unknown","Negative_strand","Enveloped","Helical","Yes","Animal","Nisma Hussein Noa Hacker Noor-Ul-Ain Nazir","TMD","1.Abramson, Lyn Y., et al. “Hopelessness Depression: A Theory-Based Subtype of Depression.” Psychological Review, vol. 96, no. 2, 1989, pp. 358–72. DOI.org (Crossref), doi:10.1037/0033-295X.96.2.358. Xie, Liji, et al. “Genetic Characterization of an Avian Influenza Virus H4N6 Strain Isolated from a Guangxi Pockmark Duck.” Genome Announcements, vol. 5, no. 34, Aug. 2017. PubMed Central, doi:10.1128/genomeA.00802-17. H4N6 Subtype, Influenza A Virus. https://www.sinobiological.com/research/virus/influenza-a-h4n6. Accessed 22 Oct. 2020.

Hu, Junyi, et al. “Isolation and Characterization of H4N6 Avian Influenza Viruses from Mallard Ducks in Beijing, China.” PLOS ONE, vol. 12, no. 9, Sept. 2017, p. e0184437. PLoS Journals, doi:10.1371/journal.pone.0184437.

NP - Nucleoprotein - Influenza A Virus (Strain A/Budgerigar/Hokkaido/1/1977 H4N6) - NP Gene & Protein. https://www.uniprot.org/uniprot/P15660. Accessed 22 Oct. 2020.

Wisedchanwet, Trong, et al. “Genetic Characterization of Avian Influenza Subtype H4N6 and H4N9 from Live Bird Market, Thailand.” Virology Journal, vol. 8, Mar. 2011, p. 131. PubMed Central, doi:10.1186/1743-422X-8-131."
"unidentified poxvirus",10283,3,"species","Virus","DNA","ds","","Enveloped","Unknown","Yes","Animal Human","Alena LeBron Alleyah Hanson Donghun Han","TMD","Baxby, Derrick. “Poxviruses.” Medical Microbiology, edited by Samuel Baron, 4th ed., University of Texas Medical Branch at Galveston, 1996. PubMed, http://www.ncbi.nlm.nih.gov/books/NBK8364/.

Poxviridae ~ ViralZone Page. https://viralzone.expasy.org/174?outline=all_by_species. Accessed 22 Mar. 2020.

Richter, Joachim. “13 - Poxviruses.” Tropical Dermatology (Second Edition), edited by Stephen K. Tyring et al., Elsevier, 2017, pp. 152–65. ScienceDirect, doi:10.1016/B978-0-323-29634-2.00013-4. Moss, Bernard. “Poxvirus DNA Replication.” Cold Spring Harbor Perspectives in Biology, vol. 5, no. 9, Sept. 2013. PubMed Central, doi:10.1101/cshperspect.a010199.
Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Null Cotia Virus Strain Cotia61. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=GQ923129&decorator=pox&context=1584047784375. Accessed 12 Mar. 2020. Poxvirus Interleukin-1 Binding Protein (IL1) Gene, Complete Cds. Jan. 1996. NCBI Nucleotide Database, 333520, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/M95202.1.

Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Null Unidentified Poxvirus Strain Brighton Red. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=M95202&decorator=pox&context=1584068963671. Accessed 13 Mar. 2020."
"Choristoneura biennis entomopoxvirus",10288,3,"species","Virus","DNA","ds","","Incongruent","Complex","Yes","Animal","Alena LeBron Alleyah Hanson NA","TMD","Choristoneura Biennis Entomopoxvirus. https://www.genome.jp/virushostdb/10288. Accessed 16 Mar. 2020.

ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Choristoneura%20biennis%20entomopoxvirus&field1=virus.name&detail=true. Accessed 16 Mar. 2020.

Thézé, Julien, et al. “New Insights into the Evolution of Entomopoxvirinae from the Complete Genome Sequences of Four Entomopoxviruses Infecting Adoxophyes Honmai, Choristoneura Biennis, Choristoneura Rosaceana, and Mythimna Separata.” Journal of Virology, vol. 87, no. 14, July 2013, pp. 7992–8003. PubMed Central, doi:10.1128/JVI.00453-13.

Entomopoxvirinae ~ ViralZone Page. https://viralzone.expasy.org/173. Accessed 16 Mar. 2020.

Untitled Document. https://web.stanford.edu/group/virus/pox/2005/index2.html. Accessed 16 Mar. 2020. Choristoneura Biennis Entomopoxvirus. https://www.gbif.org/species/123518023. Accessed 12 Mar. 2020.
JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0082401. Accessed 12 Mar. 2020. NA"
"Heliothis armigera entomopoxvirus",10290,3,"species","Virus","DNA","Incongruent","","Incongruent","Complex","Incongruent","Animal","Alleyah Hanson Alena LeBron NA","TMD","Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Betaentomopoxvirus Heliothis Armigera Entomopoxvirus Strain Clonal Isolate Wt#2/011293. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=AF019224&decorator=pox&context=1584048582462. Accessed 12 Mar. 2020. Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Betaentomopoxvirus Heliothis Armigera Entomopoxvirus Strain Clonal Isolate Wt#2/011293. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=AF019224&decorator=pox&context=1584337459058. Accessed 16 Mar. 2020.

Condit, Richard C., et al. “In A Nutshell: Structure and Assembly of the Vaccinia Virion.” Advances in Virus Research, vol. 66, Academic Press, 2006, pp. 31–124. ScienceDirect, doi:10.1016/S0065-3527(06)66002-8.

Dall, David, et al. “A Gene Encoding a Highly Expressed Spindle Body Protein of Heliothis Armigera Entomopoxvirus.” Journal of General Virology, vol. 74, no. 9, 1993, pp. 1811–18. Microbiology Society Journals, doi:10.1099/0022-1317-74-9-1811. NA"
"unidentified entomopoxvirus",10291,3,"species","Virus","DNA","ds","","Unknown","","Unknown","Animal","Donghun Han Alleyah Hanson Alena LeBron","TMD","Virus Pathogen Database and Analysis Resource (ViPR) - Poxviridae - Null Unidentified Entomopoxvirus Strain UNKNOWN-M75889. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=M75889&decorator=pox&context=1584243889660. Accessed 15 Mar. 2020.

Unidentified Entomopoxvirus. https://www.genome.jp/virushostdb/10291. Accessed 15 Mar. 2020.

KEGG BRITE: Viruses. https://www.genome.jp/kegg-bin/get_htext?Viruses+NC_038921. Accessed 15 Mar. 2020. Taxonomy Browser (Unidentified Entomopoxvirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=10291. Accessed 12 Mar. 2020. Entomopoxvirinae ~ ViralZone Page. https://viralzone.expasy.org/173. Accessed 22 Mar. 2020.

King, Linda A., et al. “Entomopoxviruses.” The Insect Viruses, edited by Lois K. Miller and L. Andrew Ball, Springer US, 1998, pp. 1–29. Springer Link, doi:10.1007/978-1-4615-5341-0_1."
"Bovine alphaherpesvirus 2",10295,3,"no_rank","Virus","DNA","ds","","Incongruent","Icosahedral","Yes","Animal","Alena LeBron Alleyah Hanson NA","TMD","ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Bovine%20alphaherpesvirus%202&field1=virus.name&detail=true. Accessed 20 Mar. 2020.

Kaur, Gurpreet, and Mudit Chandra. “Herpesvirus in Bovines: Importance of Bovine Herpesvirus Type 1.” Herpesviridae, Sept. 2016. www.intechopen.com, doi:10.5772/63157.

Wittmann, G. Herpesvirus Diseases of Cattle, Horses, and Pigs. Springer Science & Business Media, 2012. Virus Pathogen Database and Analysis Resource (ViPR) - Herpesviridae - Simplexvirus Bovine Alphaherpesvirus 2 Strain UNKNOWN-NC_043048. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=NC_043048&decorator=herpes&context=1584049618652. Accessed 12 Mar. 2020.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Bovine%20alphaherpesvirus%202&field1=virus.name&detail=true. Accessed 12 Mar. 2020. NA"
"Human alphaherpesvirus 1",10298,6,"no_rank","Virus","DNA","ds","","Enveloped","Icosahedral","Yes","Human","NA Alleyah Hanson Alleyah Hanson Alleyah Hanson Alena LeBron Alleyah Hanson","TMD","NA Studahl, Marie, et al. Herpes Simplex Viruses. CRC Press, 2017.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Human%20alphaherpesvirus%201&field1=virus.name&detail=true#. Accessed 12 Mar. 2020. Studahl, Marie, et al. Herpes Simplex Viruses. CRC Press, 2017.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Human%20alphaherpesvirus%201&field1=virus.name&detail=true#. Accessed 12 Mar. 2020. Studahl, Marie, et al. Herpes Simplex Viruses. CRC Press, 2017.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Human%20alphaherpesvirus%201&field1=virus.name&detail=true#. Accessed 12 Mar. 2020. Human Alphaherpesvirus 1. https://www.gbif.org/species/123517882/verbatim. Accessed 20 Mar. 2020.

Liu, Fenyong, and Z. Hong Zhou. “Comparative Virion Structures of Human Herpesviruses.” Human Herpesviruses: Biology, Therapy, and Immunoprophylaxis, edited by Ann Arvin et al., Cambridge University Press, 2007. PubMed, http://www.ncbi.nlm.nih.gov/books/NBK47399/.

Ramchandani, Meena, et al. “Herpes Simplex Virus Type 1 Shedding in Tears, and Nasal and Oral Mucosa of Healthy Adults.” Sexually Transmitted Diseases, vol. 43, no. 12, Dec. 2016, pp. 756–60. PubMed Central, doi:10.1097/OLQ.0000000000000522.

Rautemaa, Riina, et al. “Herpes Simplex Virus 1 Infected Neuronal and Skin Cells Differ in Their Susceptibility to Complement Attack.” Immunology, vol. 106, no. 3, July 2002, pp. 404–11. PubMed Central, doi:10.1046/j.1365-2567.2002.01421.x.

Duarte, Luisa F., et al. “Herpes Simplex Virus Type 1 Infection of the Central Nervous System: Insights Into Proposed Interrelationships With Neurodegenerative Disorders.” Frontiers in Cellular Neuroscience, vol. 13, Feb. 2019. PubMed Central, doi:10.3389/fncel.2019.00046.

Simoons‐Smit, A. M., et al. “Herpes Simplex Virus Type 1 and Respiratory Disease in Critically-Ill Patients: Real Pathogen or Innocent Bystander?” Clinical Microbiology and Infection, vol. 12, no. 11, 2006, pp. 1050–59. Wiley Online Library, doi:10.1111/j.1469-0691.2006.01475.x.

Wald, A. “Genital HSV‐1 Infections.” Sexually Transmitted Infections, vol. 82, no. 3, June 2006, pp. 189–90. PubMed Central, doi:10.1136/sti.2006.019935. Studahl, Marie, et al. Herpes Simplex Viruses. CRC Press, 2017.
ViruSITE - Taxonomy Browser. http://www.virusite.org/index.php?nav=browse&fields=1&query1=Human%20alphaherpesvirus%201&field1=virus.name&detail=true#. Accessed 12 Mar. 2020."
